Genome ID;Antibiotic;Resistant Phenotype
562.144245;meropenem;Susceptible
562.100003;trimethoprim/sulfamethoxazole;Susceptible
562.7703;ceftriaxone;Susceptible
562.96944;cefotaxime;Resistant
562.99237;ciprofloxacin;Resistant
562.57196;trimethoprim;Resistant
562.140838;ampicillin;Resistant
562.144928;penicillin;Resistant
562.99693;ceftazidime;Resistant
562.97267;ceftazidime;Susceptible
562.144935;kanamycin;Resistant
562.65787;tetracycline;Resistant
562.100352;piperacillin/tazobactam;Susceptible
562.100932;ceftazidime;Susceptible
562.65739;amoxicillin/clavulanic acid;Resistant
562.42639;ampicillin;Resistant
562.100281;cefuroxime;Susceptible
562.768;streptomycin;Susceptible
562.97506;amikacin;Susceptible
562.57382;cephalothin;Resistant
562.57197;cefotaxime;Resistant
562.99137;meropenem;Susceptible
562.56763;ampicillin;Resistant
562.7742;amikacin;Susceptible
562.58725;trimethoprim;Resistant
562.99576;cefotaxime;Susceptible
562.99424;ampicillin;Susceptible
562.99893;cefotaxime;Susceptible
562.100778;gentamicin;Susceptible
562.7778;tobramycin;Susceptible
562.144178;cefoxitin;Susceptible
562.58634;ciprofloxacin;Resistant
562.99167;ceftazidime;Susceptible
562.97335;ciprofloxacin;Resistant
562.7692;amikacin;Susceptible
562.10064;cefotaxime;Susceptible
562.99207;piperacillin/tazobactam;Susceptible
562.99916;ampicillin;Susceptible
562.100706;ciprofloxacin;Susceptible
562.99162;tigecycline;Susceptible
562.99453;ampicillin;Susceptible
562.73354;meropenem;Susceptible
562.144982;trimethoprim;Susceptible
562.100449;cefuroxime;Resistant
562.45592;aztreonam;Resistant
562.9711;cefotaxime;Resistant
562.145396;cefoxitin;Resistant
562.42816;ertapenem;Susceptible
562.100785;ampicillin;Susceptible
562.42642;gentamicin;Susceptible
562.31458;ampicillin;Resistant
562.4281;ciprofloxacin;Resistant
562.97506;amoxicillin/clavulanic acid;Resistant
562.140867;cefepime;Resistant
562.57421;gentamicin;Resistant
562.56918;ampicillin;Resistant
562.56825;cefotaxime;Resistant
562.140854;nitrofurantoin;Susceptible
562.57227;cephalothin;Susceptible
562.57101;ceftazidime;Susceptible
562.7752;tobramycin;Susceptible
562.9928;ceftazidime;Susceptible
562.42651;nitrofurantoin;Susceptible
562.144252;ampicillin;Resistant
562.99851;meropenem;Susceptible
562.99096;cefotaxime;Susceptible
562.100719;trimethoprim/sulfamethoxazole;Susceptible
562.97216;cefotaxime;Susceptible
562.100896;cefotaxime;Susceptible
562.96462;amikacin;Susceptible
562.65645;amoxicillin;Resistant
562.14083;ampicillin/sulbactam;Susceptible
562.58779;gentamicin;Susceptible
562.100572;gentamicin;Susceptible
562.144932;ampicillin;Resistant
562.65482;amoxicillin/clavulanic acid;Susceptible
562.144993;sulfamethoxazole;Susceptible
562.56771;cefoxitin;Resistant
562.100954;meropenem;Susceptible
562.42863;cefazolin;Resistant
562.100263;ceftazidime;Resistant
562.7636;gentamicin;Susceptible
562.42864;ciprofloxacin;Resistant
562.100524;meropenem;Susceptible
562.100715;ciprofloxacin;Resistant
562.73349;meropenem;Susceptible
562.100604;trimethoprim/sulfamethoxazole;Susceptible
562.45631;trimethoprim/sulfamethoxazole;Resistant
562.4274;cefepime;Susceptible
562.42811;meropenem;Susceptible
562.99303;cefuroxime;Susceptible
562.774;meropenem;Susceptible
562.99388;tigecycline;Susceptible
562.9751;cefotaxime;Susceptible
562.144323;cefoxitin;Susceptible
562.100738;piperacillin/tazobactam;Susceptible
562.7633;ceftazidime;Susceptible
562.97065;piperacillin/tazobactam;Susceptible
562.97071;piperacillin/tazobactam;Resistant
562.99766;cefuroxime;Resistant
562.65788;moxifloxacin;Resistant
562.29003;levofloxacin;Resistant
562.100159;gentamicin;Susceptible
562.99968;gentamicin;Susceptible
562.145433;sulfisoxazole;Resistant
562.42829;ceftazidime;Resistant
562.99225;ceftazidime;Susceptible
562.22426;tetracycline;Resistant
562.45616;ceftiofur;Susceptible
562.42695;tetracycline;Susceptible
562.42826;cefotaxime;Resistant
562.145441;streptomycin;Susceptible
562.96802;piperacillin/tazobactam;Resistant
562.144173;cefpodoxime;Susceptible
562.144297;cefpodoxime_clavulanic_acid;Resistant
562.100944;ciprofloxacin;Susceptible
562.100315;cefotaxime;Susceptible
562.100771;tigecycline;Susceptible
562.144951;ampicillin;Susceptible
562.99901;cefotaxime;Susceptible
562.99667;ceftazidime;Susceptible
562.96462;gentamicin;Susceptible
562.42814;cefazolin;Resistant
562.99905;ampicillin;Susceptible
562.7707;norfloxacin;Susceptible
562.97033;cefotaxime;Resistant
562.99416;cefotaxime;Susceptible
562.100761;ciprofloxacin;Resistant
562.97437;amikacin;Susceptible
562.99424;piperacillin/tazobactam;Susceptible
562.144212;cefpodoxime;Resistant
562.99888;piperacillin/tazobactam;Susceptible
562.144236;ampicillin;Resistant
562.5714;cephalothin;Susceptible
562.100929;ciprofloxacin;Susceptible
562.57225;cefuroxime;Resistant
562.7743;norfloxacin;Susceptible
562.99228;ampicillin;Susceptible
562.65781;chloramphenicol;Resistant
562.7692;meropenem;Susceptible
562.45642;cefepime;Susceptible
562.65682;amoxicillin/clavulanic acid;Susceptible
562.100284;ciprofloxacin;Susceptible
562.99063;ciprofloxacin;Susceptible
562.144975;ceftriaxone;Susceptible
562.57164;ampicillin;Susceptible
562.96833;ceftazidime;Susceptible
562.57426;cefotaxime;Resistant
562.65157;ampicillin;Susceptible
562.99291;trimethoprim/sulfamethoxazole;Susceptible
562.97217;meropenem;Susceptible
562.96902;piperacillin/tazobactam;Susceptible
562.144929;doxycycline;Resistant
562.42847;ceftazidime;Susceptible
