[I 2026-03-17 19:35:44,450] A new study created in memory with name: xgboost_ciprofloxacin_optimization
[I 2026-03-17 21:12:34,186] Trial 0 finished with value: 0.9956324248777079 and parameters: {'learning_rate': 0.08163800742375489, 'max_depth': 4, 'subsample': 0.967509683401174, 'colsample_bytree': 0.10198345012762468, 'min_child_weight': 4, 'gamma': 4.057879694357448, 'scale_pos_weight': 2.673082954427114}. Best is trial 0 with value: 0.9956324248777079.
[I 2026-03-17 21:31:59,973] Trial 1 finished with value: 0.9796470999301188 and parameters: {'learning_rate': 0.2705472178470758, 'max_depth': 4, 'subsample': 0.762940523335737, 'colsample_bytree': 0.14104637493262656, 'min_child_weight': 6, 'gamma': 1.4078461100612483, 'scale_pos_weight': 2.6961730348757946}. Best is trial 0 with value: 0.9956324248777079.
[I 2026-03-17 22:08:15,897] Trial 2 finished with value: 0.9851502445842069 and parameters: {'learning_rate': 0.06524752425282154, 'max_depth': 4, 'subsample': 0.6044853800368709, 'colsample_bytree': 0.13806322611813615, 'min_child_weight': 10, 'gamma': 0.04770388226092326, 'scale_pos_weight': 4.693330245489853}. Best is trial 0 with value: 0.9956324248777079.
[I 2026-03-17 22:45:10,054] Trial 3 finished with value: 0.9856743535988819 and parameters: {'learning_rate': 0.0763732522759735, 'max_depth': 3, 'subsample': 0.7298407808047612, 'colsample_bytree': 0.11345934564339245, 'min_child_weight': 6, 'gamma': 1.1263668383311753, 'scale_pos_weight': 3.7447791813404487}. Best is trial 0 with value: 0.9956324248777079.
[I 2026-03-17 23:16:48,826] Trial 4 finished with value: 0.9958071278825996 and parameters: {'learning_rate': 0.07118849579981246, 'max_depth': 4, 'subsample': 0.9571625930786853, 'colsample_bytree': 0.1425948086775911, 'min_child_weight': 5, 'gamma': 0.8497337473253785, 'scale_pos_weight': 2.320330170390971}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 00:10:15,486] Trial 5 finished with value: 0.991701607267645 and parameters: {'learning_rate': 0.010303197013908414, 'max_depth': 7, 'subsample': 0.9494827184098384, 'colsample_bytree': 0.1522048743480715, 'min_child_weight': 10, 'gamma': 1.2241355580792823, 'scale_pos_weight': 7.665420144529614}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 00:32:17,689] Trial 6 finished with value: 0.9861111111111112 and parameters: {'learning_rate': 0.11121325272724053, 'max_depth': 3, 'subsample': 0.7680794309755533, 'colsample_bytree': 0.20996105946775367, 'min_child_weight': 1, 'gamma': 0.761332253738804, 'scale_pos_weight': 5.269756971301743}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 01:08:53,450] Trial 7 finished with value: 0.9912648497554158 and parameters: {'learning_rate': 0.08156385203416502, 'max_depth': 8, 'subsample': 0.9826254044462492, 'colsample_bytree': 0.28760217606850913, 'min_child_weight': 10, 'gamma': 1.5895297280654948, 'scale_pos_weight': 1.8885395222755186}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 01:42:27,570] Trial 8 finished with value: 0.9881201956673655 and parameters: {'learning_rate': 0.12620948451507952, 'max_depth': 7, 'subsample': 0.7002049404844211, 'colsample_bytree': 0.19575801511487312, 'min_child_weight': 4, 'gamma': 2.8351180013953243, 'scale_pos_weight': 6.821018949720073}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 02:01:20,256] Trial 9 finished with value: 0.9888190076869322 and parameters: {'learning_rate': 0.19935967419378528, 'max_depth': 3, 'subsample': 0.7468537070455151, 'colsample_bytree': 0.14625426662965968, 'min_child_weight': 8, 'gamma': 1.8218165474029768, 'scale_pos_weight': 8.338255599659583}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 03:31:32,565] Trial 10 finished with value: 0.9877707896575821 and parameters: {'learning_rate': 0.025977153153079555, 'max_depth': 11, 'subsample': 0.8769569052891308, 'colsample_bytree': 0.051643871513339296, 'min_child_weight': 1, 'gamma': 2.984273325940196, 'scale_pos_weight': 1.1592137949200647}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 04:12:08,943] Trial 11 finished with value: 0.9937980433263452 and parameters: {'learning_rate': 0.03464887112424157, 'max_depth': 6, 'subsample': 0.8713853063977813, 'colsample_bytree': 0.06707400534141206, 'min_child_weight': 4, 'gamma': 4.334565738058628, 'scale_pos_weight': 3.2270183950228963}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 04:57:00,257] Trial 12 finished with value: 0.9916142557651991 and parameters: {'learning_rate': 0.036451460589857834, 'max_depth': 5, 'subsample': 0.9068872390983113, 'colsample_bytree': 0.09429922508902182, 'min_child_weight': 4, 'gamma': 4.572905325467891, 'scale_pos_weight': 4.036170475824552}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 05:31:56,298] Trial 13 finished with value: 0.9948462613556953 and parameters: {'learning_rate': 0.04657859539451455, 'max_depth': 9, 'subsample': 0.9966706482151311, 'colsample_bytree': 0.23959040206981952, 'min_child_weight': 5, 'gamma': 3.6861940011166037, 'scale_pos_weight': 1.875202303635858}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 06:08:14,464] Trial 14 finished with value: 0.9874213836477987 and parameters: {'learning_rate': 0.01878343695235257, 'max_depth': 5, 'subsample': 0.8348283848515263, 'colsample_bytree': 0.09536452947911742, 'min_child_weight': 3, 'gamma': 3.5697680464441874, 'scale_pos_weight': 9.992110773489319}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 06:30:26,151] Trial 15 finished with value: 0.9846261355695318 and parameters: {'learning_rate': 0.13581736509925996, 'max_depth': 12, 'subsample': 0.9275587100848686, 'colsample_bytree': 0.17756040982359228, 'min_child_weight': 7, 'gamma': 4.958199759249666, 'scale_pos_weight': 1.001380320792274}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 07:00:27,106] Trial 16 finished with value: 0.9914395527603075 and parameters: {'learning_rate': 0.09324839495568607, 'max_depth': 5, 'subsample': 0.8239677968675791, 'colsample_bytree': 0.11523451376389654, 'min_child_weight': 2, 'gamma': 2.212692419829751, 'scale_pos_weight': 2.5972324871238484}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 08:04:52,959] Trial 17 finished with value: 0.9931865828092243 and parameters: {'learning_rate': 0.051303264357744585, 'max_depth': 10, 'subsample': 0.9556853631201316, 'colsample_bytree': 0.07651581448478229, 'min_child_weight': 8, 'gamma': 0.2977350166006998, 'scale_pos_weight': 6.130263649128009}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 08:26:54,761] Trial 18 finished with value: 0.991701607267645 and parameters: {'learning_rate': 0.15955338292904614, 'max_depth': 6, 'subsample': 0.8674932226521496, 'colsample_bytree': 0.23204733769478753, 'min_child_weight': 3, 'gamma': 3.65514228249356, 'scale_pos_weight': 4.178539733409561}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 09:26:28,199] Trial 19 finished with value: 0.9945842068483578 and parameters: {'learning_rate': 0.02010702500168625, 'max_depth': 4, 'subsample': 0.9138586107308803, 'colsample_bytree': 0.17039134392110888, 'min_child_weight': 5, 'gamma': 2.299039053370471, 'scale_pos_weight': 2.313311745725008}. Best is trial 4 with value: 0.9958071278825996.
[I 2026-03-18 09:44:11,168] Trial 20 finished with value: 0.9774633123689728 and parameters: {'learning_rate': 0.2969090341923529, 'max_depth': 6, 'subsample': 0.6507794472665078, 'colsample_bytree': 0.10822243842643131, 'min_child_weight': 7, 'gamma': 3.132779630393646, 'scale_pos_weight': 4.966342028601438}. Best is trial 4 with value: 0.9958071278825996.
