Trial_Number,Objective_Value,State
0,0.9885241916260802,COMPLETE
1,0.9864232521523311,COMPLETE
2,0.9902015747091912,COMPLETE
3,0.9853045895419971,COMPLETE
4,0.9882353215068391,COMPLETE
5,0.9858697556797984,COMPLETE
6,0.9871107475250733,COMPLETE
7,0.9882700744486119,COMPLETE
8,0.987421967749018,COMPLETE
9,0.9867221088650391,COMPLETE
10,0.985175518716408,COMPLETE
11,0.9874123203571439,COMPLETE
12,0.9893712801053695,COMPLETE
13,0.9862527918971487,COMPLETE
14,0.9879559686751744,COMPLETE
15,0.9874671164060482,COMPLETE
16,0.9868990741555443,COMPLETE
17,0.9860937388933197,COMPLETE
18,0.9867372233117155,COMPLETE
19,0.9881715510699544,COMPLETE
20,0.9860608119210376,COMPLETE
21,0.9892982107338566,COMPLETE
22,0.9912503182581477,COMPLETE
23,0.989453877546421,COMPLETE
24,0.9915214436383045,COMPLETE
