True_Label,Predicted_Probability
1,0.8848221
1,0.90055513
1,0.88861346
1,0.86757404
1,0.8679825
1,0.88326144
1,0.8679825
1,0.85764134
1,0.839618
1,0.8500963
1,0.8500963
1,0.90610856
1,0.8617033
1,0.60810393
1,0.5897521
1,0.72806454
1,0.21076591
1,0.6836531
1,0.7524231
1,0.60810393
1,0.947754
1,0.947754
1,0.83315635
1,0.83315635
1,0.83315635
1,0.83315635
1,0.83315635
1,0.78721637
1,0.9548035
1,0.27060518
1,0.13205624
1,0.2444782
1,0.2444782
1,0.90546227
1,0.882474
1,0.1677398
1,0.94001025
1,0.13156998
1,0.9233149
1,0.9406295
1,0.45571023
1,0.81431
1,0.41408727
1,0.11856258
1,0.94657147
1,0.3227953
1,0.79407436
1,0.17074084
1,0.927678
1,0.9220818
1,0.8351196
1,0.120567925
1,0.22930118
1,0.10586569
1,0.16050786
1,0.93854475
1,0.12278379
1,0.10586569
1,0.75396687
1,0.097864114
1,0.115683235
1,0.1378198
1,0.15006182
1,0.123392254
1,0.15410382
1,0.23820399
1,0.16681264
1,0.82986
1,0.893981
1,0.85313934
1,0.1916212
1,0.3179642
1,0.8392366
1,0.16511999
1,0.8674467
1,0.4865524
1,0.88042706
1,0.89625615
1,0.93184227
1,0.19110124
1,0.17706995
1,0.1576562
1,0.13504893
1,0.86149263
1,0.9436685
1,0.93363047
1,0.83487153
1,0.21014836
1,0.89973277
1,0.89339936
1,0.8959682
1,0.9115903
1,0.9233931
1,0.7671123
0,0.3031508
1,0.87028503
1,0.8296192
1,0.53667855
1,0.20768508
1,0.10102219
1,0.13904065
1,0.9105459
1,0.26273307
1,0.2062143
1,0.112865046
1,0.19399168
1,0.17547755
1,0.9281454
1,0.82157004
1,0.8494691
1,0.94240576
1,0.14766994
1,0.11591724
1,0.89321935
1,0.8868709
1,0.20074522
1,0.875165
1,0.8119284
1,0.15920065
1,0.6716969
1,0.8404722
1,0.8703769
1,0.51798815
1,0.88457054
1,0.8997878
1,0.7756949
1,0.9203951
1,0.11442055
1,0.8918239
1,0.87747586
1,0.15618078
1,0.86045176
1,0.46967763
1,0.9033356
1,0.15397315
1,0.12871543
1,0.78511393
1,0.22557749
1,0.87524104
1,0.13193107
1,0.9132603
1,0.86045176
1,0.5530644
1,0.89645386
1,0.89284223
1,0.9056019
1,0.89645386
1,0.86333036
1,0.8850734
1,0.81431
1,0.8635179
1,0.88648707
1,0.26126197
1,0.13084857
1,0.86045176
1,0.86768156
1,0.8632902
1,0.7014236
1,0.9381667
1,0.3337875
1,0.4965334
1,0.8404722
1,0.93633467
1,0.13076611
1,0.93377095
1,0.14174004
1,0.9321127
1,0.9488595
1,0.8866754
1,0.42348176
1,0.8640194
1,0.13321173
1,0.91764605
1,0.92066944
1,0.2147549
1,0.90097994
1,0.124039724
1,0.16711842
1,0.8746355
1,0.54217637
1,0.8865967
1,0.38163823
1,0.8284266
1,0.868052
1,0.94084746
1,0.9381667
1,0.90050304
1,0.81377435
1,0.86045176
1,0.8851888
1,0.88769144
1,0.35628614
1,0.5119439
1,0.737867
1,0.86662775
1,0.8423136
1,0.952336
1,0.88709426
1,0.9596331
1,0.90761685
1,0.23661454
1,0.8883036
1,0.81912255
1,0.61410016
0,0.11958547
1,0.8681466
1,0.9105459
1,0.4562496
1,0.9216999
0,0.17662872
0,0.09448906
0,0.12390457
1,0.8681961
0,0.7815724
1,0.8959592
0,0.119194046
1,0.80945987
0,0.22280379
0,0.11275607
1,0.87635833
1,0.57111174
1,0.94774395
0,0.18506388
1,0.8257505
1,0.9142982
1,0.9220133
0,0.11416313
0,0.20612916
0,0.111242495
0,0.124242894
0,0.07873435
1,0.8147042
1,0.82123274
1,0.36520505
1,0.8901567
0,0.12757607
1,0.9006366
0,0.10444041
0,0.20872526
0,0.18271676
0,0.16223325
1,0.93712336
0,0.18244767
1,0.94805264
0,0.09762885
1,0.8816598
1,0.8894169
1,0.20471004
0,0.11559407
1,0.9202052
1,0.8785825
0,0.096790195
0,0.10863183
0,0.13580956
1,0.8702115
0,0.19451769
0,0.114622496
1,0.8474305
0,0.16356926
0,0.11311665
0,0.33914983
0,0.4919858
1,0.88518906
0,0.2872915
1,0.94916874
0,0.10816305
0,0.12292004
0,0.14112636
1,0.8710713
0,0.2563683
0,0.24715352
1,0.11159905
