Genome_ID,Predicted_Probability,True_Label,Predicted_Label,Error_Type
562.140904,0.21076591,Resistant,Susceptible,False_Negative
562.140964,0.27060518,Resistant,Susceptible,False_Negative
562.144151,0.13205624,Resistant,Susceptible,False_Negative
562.144152,0.2444782,Resistant,Susceptible,False_Negative
562.144153,0.2444782,Resistant,Susceptible,False_Negative
562.144156,0.1677398,Resistant,Susceptible,False_Negative
562.144158,0.13156998,Resistant,Susceptible,False_Negative
562.144165,0.11856258,Resistant,Susceptible,False_Negative
562.144167,0.3227953,Resistant,Susceptible,False_Negative
562.144169,0.17074084,Resistant,Susceptible,False_Negative
562.144174,0.120567925,Resistant,Susceptible,False_Negative
562.144175,0.22930118,Resistant,Susceptible,False_Negative
562.144176,0.10586569,Resistant,Susceptible,False_Negative
562.144177,0.16050786,Resistant,Susceptible,False_Negative
562.144179,0.12278379,Resistant,Susceptible,False_Negative
562.144181,0.10586569,Resistant,Susceptible,False_Negative
562.144183,0.097864114,Resistant,Susceptible,False_Negative
562.144184,0.115683235,Resistant,Susceptible,False_Negative
562.144185,0.1378198,Resistant,Susceptible,False_Negative
562.144186,0.15006182,Resistant,Susceptible,False_Negative
562.144187,0.123392254,Resistant,Susceptible,False_Negative
562.144188,0.15410382,Resistant,Susceptible,False_Negative
562.144189,0.23820399,Resistant,Susceptible,False_Negative
562.144191,0.16681264,Resistant,Susceptible,False_Negative
562.144195,0.1916212,Resistant,Susceptible,False_Negative
562.144196,0.3179642,Resistant,Susceptible,False_Negative
562.144198,0.16511999,Resistant,Susceptible,False_Negative
562.144205,0.19110124,Resistant,Susceptible,False_Negative
562.144206,0.17706995,Resistant,Susceptible,False_Negative
562.144207,0.1576562,Resistant,Susceptible,False_Negative
562.144208,0.13504893,Resistant,Susceptible,False_Negative
562.144214,0.21014836,Resistant,Susceptible,False_Negative
562.144226,0.20768508,Resistant,Susceptible,False_Negative
562.144227,0.10102219,Resistant,Susceptible,False_Negative
562.144228,0.13904065,Resistant,Susceptible,False_Negative
562.144231,0.26273307,Resistant,Susceptible,False_Negative
562.144232,0.2062143,Resistant,Susceptible,False_Negative
562.144233,0.112865046,Resistant,Susceptible,False_Negative
562.144234,0.19399168,Resistant,Susceptible,False_Negative
562.144235,0.17547755,Resistant,Susceptible,False_Negative
562.144241,0.14766994,Resistant,Susceptible,False_Negative
562.144242,0.11591724,Resistant,Susceptible,False_Negative
562.144245,0.20074522,Resistant,Susceptible,False_Negative
562.144248,0.15920065,Resistant,Susceptible,False_Negative
562.144258,0.11442055,Resistant,Susceptible,False_Negative
562.144262,0.15618078,Resistant,Susceptible,False_Negative
562.144266,0.15397315,Resistant,Susceptible,False_Negative
562.144267,0.12871543,Resistant,Susceptible,False_Negative
562.144269,0.22557749,Resistant,Susceptible,False_Negative
562.144272,0.13193107,Resistant,Susceptible,False_Negative
562.144287,0.26126197,Resistant,Susceptible,False_Negative
562.144288,0.13084857,Resistant,Susceptible,False_Negative
562.144296,0.3337875,Resistant,Susceptible,False_Negative
562.144301,0.13076611,Resistant,Susceptible,False_Negative
562.144303,0.14174004,Resistant,Susceptible,False_Negative
562.144309,0.13321173,Resistant,Susceptible,False_Negative
562.144313,0.2147549,Resistant,Susceptible,False_Negative
562.144315,0.124039724,Resistant,Susceptible,False_Negative
562.144316,0.16711842,Resistant,Susceptible,False_Negative
562.100817,0.23661454,Resistant,Susceptible,False_Negative
562.100867,0.20471004,Resistant,Susceptible,False_Negative
562.100894,0.11159905,Resistant,Susceptible,False_Negative
562.100905,0.08086633,Resistant,Susceptible,False_Negative
562.100935,0.32254025,Resistant,Susceptible,False_Negative
562.12961,0.23484004,Resistant,Susceptible,False_Negative
562.7753,0.3039288,Resistant,Susceptible,False_Negative
562.7755,0.19120558,Resistant,Susceptible,False_Negative
562.7782,0.3039288,Resistant,Susceptible,False_Negative
562.7784,0.09772013,Resistant,Susceptible,False_Negative
562.9905,0.24720928,Resistant,Susceptible,False_Negative
562.99058,0.33750296,Resistant,Susceptible,False_Negative
562.9906,0.20804414,Resistant,Susceptible,False_Negative
562.9907,0.28155398,Resistant,Susceptible,False_Negative
562.99073,0.25772738,Resistant,Susceptible,False_Negative
562.99095,0.25022003,Resistant,Susceptible,False_Negative
562.65294,0.34156784,Resistant,Susceptible,False_Negative
562.65316,0.22487897,Resistant,Susceptible,False_Negative
562.65329,0.2618194,Resistant,Susceptible,False_Negative
562.65353,0.31190926,Resistant,Susceptible,False_Negative
562.65436,0.14227575,Resistant,Susceptible,False_Negative
