,amikacin,amoxicillin,amoxicillin/clavulanic acid,ampicillin,ampicillin/sulbactam,azithromycin,aztreonam,cefazolin,cefepime,cefotaxime,cefotetan,cefoxitin,cefpodoxime,cefpodoxime_clavulanic_acid,ceftazidime,ceftiofur,ceftriaxone,cefuroxime,cephalothin,chloramphenicol,ciprofloxacin,colistin,doripenem,doxycycline,ertapenem,erythromycin,fosfomycin,gentamicin,imipenem,kanamycin,levofloxacin,meropenem,minocycline,nalidixic acid,nitrofurantoin,norfloxacin,oxytetracycline,piperacillin/tazobactam,streptomycin,sulfamethoxazole,sulfisoxazole,tetracycline,tigecycline,tobramycin,trimethoprim,trimethoprim/sulfamethoxazole
amikacin,1.0,0.0,0.1825995640809011,0.06653131991283988,0.16550267132755786,0.0,0.18074940321835334,0.10318329638906222,0.2787926291266374,0.14626573450941344,0.0,0.29221108608849317,0.15487661515622617,0.12697387374368252,0.20063539435676445,0.4012548252452658,0.16964483436881747,0.22973414586817034,0.0,0.12756225367742485,0.11648967675016071,-0.2763853991962833,0.3217368812492594,0.0,0.2839834076569834,0.0,0.33953418762611975,0.21271692194473363,0.49853824255346985,0.0,0.13837489176637974,0.5171077003437711,0.0,0.12649110640673525,0.13417345704606487,0.0,0.0,0.23233396844150664,0.09057287368239886,0.0522640378903859,0.0,-0.01439733494182517,0.13257401008712374,0.39442528038096736,0.05115388020599669,0.024136900856567993
amoxicillin,0.0,1.0,0.8516110650227647,0.4607869170932586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amoxicillin/clavulanic acid,0.1825995640809011,0.8516110650227647,1.0,0.6091207003207786,0.6715231357973186,0.11470786693528089,0.4970694753640839,0.3140088114842206,0.5554329426712207,0.334114549324933,0.0,0.6262991176993202,0.0,0.0,0.44022242673861284,0.7876529517101705,0.6508710061705,0.11175851434516977,0.0,0.6094401755725204,0.27197065645571333,-0.040522044923655444,0.3656362120635653,0.0,0.5898426665067565,0.7045401419324544,0.0953425314611089,0.3484247873524796,0.4929217864430431,0.0,0.08738982931812292,0.282350109590494,0.0,0.1608246744401086,0.15818004649916928,0.41762016803210317,0.0,0.6774320181614314,0.5695214286468869,0.19656134827672425,0.5561963318179756,0.3976266758151987,0.08627620239070637,0.014806596465282217,0.3389755109951776,-0.072946804204289
ampicillin,0.06653131991283988,0.4607869170932586,0.6091207003207786,1.0,0.33601075251612333,0.1575345454037938,0.37302595150649603,0.5042432983100928,0.3274992487635498,0.5039561368685884,0.07800764512385167,0.5156821671803834,0.0,0.0,0.4373162550310246,0.4469282007066931,0.5506433390302771,0.45875348264943844,0.48096484942509915,0.3887129422999918,0.4554084784423878,-0.008841432562522684,0.13533299049019182,0.26866429101917255,0.15200983381658786,0.8914831259209681,0.08830830524261264,0.3330665404744768,0.091744152676403,0.0,0.15264901302292552,0.12409514719636283,0.08233048894479118,0.5221556042041448,0.09098137333594496,0.24533993536432058,0.41811233797972064,0.320545019694398,0.5547173640767158,0.6570033710458858,0.7403696710732033,0.49641688227823294,0.055601277192313024,0.23535993270959696,0.4773878270030806,0.5318197141517713
ampicillin/sulbactam,0.16550267132755786,0.0,0.6715231357973186,0.33601075251612333,1.0,0.0,0.7566596771220689,0.6728111897994425,0.6521517622111712,0.7084881518372367,0.0,0.6742526904728666,0.0,0.0,0.7632158981906706,0.18266925180652474,0.6798042271993705,0.5859606023960604,0.0,0.2118350537254681,0.12579229109792195,0.35,0.320373682108383,0.2541620310664794,0.23494185639713283,0.0,0.33006810528804553,0.3034181977158583,0.2679914652458106,0.0,0.21524082255153515,0.2570565542348095,-0.05114698973243409,0.4823819106188661,-0.26831933926213813,0.8284168695795141,0.08458516727440954,0.3938533761791448,0.09220517785543067,0.0,0.0,0.2178324594548683,0.0,0.37865906811476996,0.39279220242478624,0.19065092582030224
azithromycin,0.0,0.0,0.11470786693528089,0.1575345454037938,0.0,1.0,0.0,0.0,-0.02060964050034348,1.0,0.0,0.0,0.0,0.0,0.06828740266378568,0.0,-0.04717978110149354,0.0,0.0,0.07267346660603173,0.3507010087418636,0.0,0.0,0.0,0.0,1.0,0.0,0.017234388375297224,0.0,0.0,0.0,0.25254126352594675,0.0,0.0,0.0,0.4012294604498756,0.0,0.0,-0.04378925162883496,0.12020747014394455,0.0,0.09919491029391836,0.0,0.2811837966266549,0.1308399046238017,0.09561157770375203
aztreonam,0.18074940321835334,0.0,0.4970694753640839,0.37302595150649603,0.7566596771220689,0.0,1.0,0.6541404180452208,0.7866388009649332,0.9080862240883568,0.0,0.6374552583116768,0.0,0.0,0.9417619981563607,0.426156303957009,0.7909495343557,0.7357885994794927,0.0,0.1546865705617188,0.2881233743580201,-0.06465741506925923,0.28365431446558775,-0.010876706757180566,0.3233485102553574,0.0,0.23170292199528675,0.2867455167370838,0.27398718077435397,0.0,0.26835689425858994,0.28571083995414587,-0.15715247901776153,0.025533995611807355,-0.19560439560439555,0.2975595178559521,0.06550715792540233,0.5237032673747665,0.06912736005556003,0.0,0.0,0.05145380729684103,-0.10787573960479425,0.38490840092396716,0.3583279165655396,0.188909484806147
cefazolin,0.10318329638906222,0.0,0.3140088114842206,0.5042432983100928,0.6728111897994425,0.0,0.6541404180452208,1.0,0.449766126214191,0.6511308451146737,0.35946277018081785,0.1581138830084189,0.0,0.0,0.5288558808592182,0.9518313432446452,0.8921227861044972,0.0,0.0,4.1332588203911433e-17,0.32712299031223285,0.0,0.18353258709644937,0.12420391875696776,0.08805642993501767,0.0,0.0,0.23404016045811238,0.18454193982447326,0.0,0.20025518860436545,0.17228703466589906,-0.03473544014603868,0.6031483057987305,-0.22855173234465545,0.0,0.16378822960166323,0.32429822766006317,0.10303300099989603,0.0,0.0,0.15636418255858942,0.0,0.18076924927512308,0.0,0.08770379593955573
cefepime,0.2787926291266374,0.0,0.5554329426712207,0.3274992487635498,0.6521517622111712,-0.02060964050034348,0.7866388009649332,0.449766126214191,1.0,0.80704878599967,0.5620872076337506,0.533666883531037,0.0,0.0,0.7424275182198862,0.3846297894162217,0.627788694396939,0.3409738375517057,0.0,0.19549134003855737,0.4595277556543357,0.030934411244487287,0.5069154272819538,0.010848361832308372,0.48066826904221216,0.0,0.35133030007284716,0.2867026733694148,0.354394269546191,-0.24999999999999992,0.19639876779711749,0.43794630765996634,-0.1632761580891109,0.2691278083444701,0.021600912630610602,0.21460831906423308,0.06392027721005931,0.560904611091235,0.009978072334820814,0.013909295572661426,0.0,0.14129904164821683,-0.02969405701370575,0.5671995380445092,0.10278175667017864,0.1274111542517989
cefotaxime,0.14626573450941344,0.0,0.334114549324933,0.5039561368685884,0.7084881518372367,1.0,0.9080862240883568,0.6511308451146737,0.80704878599967,1.0,0.0,0.7971641073878247,0.8554676446390331,0.9296691481959197,0.858089047321867,0.0,0.9826722852996226,0.9121417550919686,0.8607956374985638,0.48206964048101114,0.560259574910849,-0.48595534813868946,0.3620668957178907,0.0,0.41953746849334195,1.0,0.10841438575955249,0.44533810511584804,0.11728589370100727,-0.30151134457776363,0.35309440897617383,0.21381531454059807,0.11111111111111104,0.5277305931059149,0.6770032003863302,0.2852011797287316,0.0,0.29267831777737097,0.0,0.4421702499202427,0.0,0.30862073425443093,0.14452920678925804,0.46611893017557293,0.5657733166079222,0.3382781991529585
