Trial_Number,Objective_Value,State
0,1.0,COMPLETE
1,1.0,COMPLETE
2,1.0,COMPLETE
3,0.9981868036059659,COMPLETE
4,1.0,COMPLETE
5,0.9981495819817915,COMPLETE
6,1.0,COMPLETE
7,1.0,COMPLETE
8,1.0,COMPLETE
9,1.0,COMPLETE
10,1.0,COMPLETE
11,1.0,COMPLETE
12,0.9948842548060938,COMPLETE
13,1.0,COMPLETE
14,1.0,COMPLETE
15,1.0,COMPLETE
16,1.0,COMPLETE
17,1.0,COMPLETE
18,1.0,COMPLETE
19,1.0,COMPLETE
20,0.9929920735994752,COMPLETE
21,1.0,COMPLETE
22,0.9927494253096477,COMPLETE
23,0.9911834187696767,COMPLETE
24,0.9945580801394461,COMPLETE
