Genome_ID,Predicted_Probability,True_Label,Predicted_Label,Error_Type
562.9746,0.14422393,Resistant,Susceptible,False_Negative
562.9747,0.042707235,Resistant,Susceptible,False_Negative
562.9914,0.19656818,Resistant,Susceptible,False_Negative
562.5691,0.04323807,Resistant,Susceptible,False_Negative
562.5692,0.105847515,Resistant,Susceptible,False_Negative
562.57104,0.15996858,Resistant,Susceptible,False_Negative
562.57118,0.24705616,Resistant,Susceptible,False_Negative
562.57159,0.025518963,Resistant,Susceptible,False_Negative
562.57169,0.05839055,Resistant,Susceptible,False_Negative
562.57178,0.03505186,Resistant,Susceptible,False_Negative
562.57184,0.12922433,Resistant,Susceptible,False_Negative
562.57192,0.05059312,Resistant,Susceptible,False_Negative
562.57196,0.04786651,Resistant,Susceptible,False_Negative
562.57201,0.07297854,Resistant,Susceptible,False_Negative
562.57208,0.040739514,Resistant,Susceptible,False_Negative
562.57266,0.06219787,Resistant,Susceptible,False_Negative
