Genome_ID,Predicted_Probability,True_Label,Predicted_Label,Error_Type
562.100264,0.022222832,Resistant,Susceptible,False_Negative
562.100305,0.045728434,Resistant,Susceptible,False_Negative
562.10033,0.11246884,Resistant,Susceptible,False_Negative
562.13502,0.12370689,Resistant,Susceptible,False_Negative
562.13671,0.09496706,Resistant,Susceptible,False_Negative
562.57408,0.103158355,Resistant,Susceptible,False_Negative
562.5741,0.021294497,Resistant,Susceptible,False_Negative
562.5742,0.088210024,Resistant,Susceptible,False_Negative
562.57432,0.03384692,Resistant,Susceptible,False_Negative
562.57438,0.04099819,Resistant,Susceptible,False_Negative
562.5744,0.028331205,Resistant,Susceptible,False_Negative
562.57449,0.05797172,Resistant,Susceptible,False_Negative
562.57483,0.129881,Resistant,Susceptible,False_Negative
562.58717,0.07625168,Resistant,Susceptible,False_Negative
562.58727,0.065726936,Resistant,Susceptible,False_Negative
562.58735,0.08681066,Resistant,Susceptible,False_Negative
562.58737,0.048444487,Resistant,Susceptible,False_Negative
562.58761,0.118843645,Resistant,Susceptible,False_Negative
562.58765,0.17987467,Resistant,Susceptible,False_Negative
562.58775,0.07260849,Resistant,Susceptible,False_Negative
